Function,Best,Worst,Mean,StdDev
F1,1.24283e+02,1.88811e+04,5.77088e+03,5.40090e+03
F3,3.59762e+03,3.23373e+04,1.32578e+04,5.76634e+03
F4,4.71801e+02,5.18946e+02,4.91928e+02,1.24265e+01
F5,6.38184e+02,7.09076e+02,6.86285e+02,1.41270e+01
F6,6.00000e+02,6.00000e+02,6.00000e+02,3.46865e-05
F7,8.93870e+02,9.35086e+02,9.19945e+02,8.91681e+00
F8,9.50486e+02,1.01414e+03,9.89177e+02,1.33600e+01
F9,9.00000e+02,9.02818e+02,9.00399e+02,7.30837e-01
F10,3.75441e+03,8.80637e+03,8.05152e+03,7.28476e+02
F11,1.11099e+03,1.23713e+03,1.18367e+03,3.39631e+01
F12,4.83466e+03,2.54977e+05,4.62602e+04,4.12744e+04
F13,1.39880e+03,3.82356e+04,4.04881e+03,7.32916e+03
F14,1.45739e+03,1.49677e+03,1.47315e+03,8.39302e+00
F15,1.51051e+03,1.68566e+03,1.56975e+03,3.69828e+01
F16,1.63180e+03,3.33671e+03,2.71871e+03,3.92289e+02
F17,1.77355e+03,2.25964e+03,1.87638e+03,1.19883e+02
F18,2.08572e+03,8.19924e+04,1.35006e+04,1.50574e+04
F19,1.90991e+03,1.98545e+03,1.92712e+03,1.27968e+01
F20,2.02227e+03,2.55650e+03,2.13126e+03,1.24836e+02
F21,2.45760e+03,2.49929e+03,2.47841e+03,1.00411e+01
F22,2.30000e+03,9.82418e+03,6.46383e+03,3.55446e+03
F23,2.75398e+03,2.86478e+03,2.83396e+03,1.63553e+01
F24,2.97090e+03,3.03311e+03,3.00545e+03,1.21520e+01
F25,2.88344e+03,2.88813e+03,2.88679e+03,1.14830e+00
F26,3.67937e+03,5.55799e+03,5.16024e+03,3.89421e+02
F27,3.19180e+03,3.22804e+03,3.20791e+03,8.71823e+00
F28,3.18590e+03,3.26071e+03,3.22335e+03,2.15414e+01
F29,3.30752e+03,4.10335e+03,3.61409e+03,2.40590e+02
F30,5.10593e+03,1.39853e+04,6.64075e+03,1.89384e+03
